player,oreb,dreb,foul,stl,to,blk,asst,pts,dnp,fgm,fga,3pm,3pa,ftm,fta,game_date,location,opponent
 E. Rhyne,4,3,0,1,1,1,1,0,False,0,2,0,0,0,0,2026-01-14,home,Gerstell
 B. Novotny,1,6,0,0,2,0,0,0,False,0,1,0,0,0,0,2026-01-14,home,Gerstell
 J. Constantine,3,1,0,1,1,0,0,0,False,0,5,0,1,0,0,2026-01-14,home,Gerstell
 C. Hall,0,1,0,6,4,1,2,16,False,7,12,0,2,2,2,2026-01-15,away,WM
 J. Abreu,0,2,0,3,5,0,0,14,False,5,11,2,5,2,2,2026-01-15,away,WM
 E. Rhyne,2,0,0,0,1,1,0,8,False,4,5,0,0,0,1,2026-01-15,away,WM
 R. Messier,2,5,0,3,3,0,1,6,False,3,4,0,1,0,0,2026-01-15,away,WM
 B. Rankin,2,2,0,1,1,1,0,5,False,1,2,0,1,3,4,2026-01-15,away,WM
 C. Yinger,1,4,0,2,4,0,1,2,False,1,3,0,1,0,0,2026-01-15,away,WM
 E. Dejesus,1,0,0,2,1,0,2,1,False,0,1,0,0,1,2,2026-01-15,away,WM
 K. Johnson,0,1,0,0,1,1,0,0,False,0,1,0,0,0,0,2026-01-15,away,WM
 N. Gabriel,0,1,0,1,1,0,1,0,False,0,2,0,1,0,0,2026-01-15,away,WM
 H. Mollman,0,1,0,0,0,0,0,0,False,0,0,0,0,0,0,2026-01-15,away,WM
 B. Novotny,0,0,0,0,2,0,0,0,False,0,0,0,0,0,0,2026-01-15,away,WM
 J. Constantine,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-01-15,away,WM
 G. Tittle,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-01-15,away,WM
 D. Harris,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-01-15,away,WM
 C. Hall,0,4,0,2,2,1,1,16,False,7,24,0,2,2,5,2026-01-20,away,Century
 R. Messier,4,3,0,3,1,0,1,15,False,6,10,2,3,1,2,2026-01-20,away,Century
 E. Rhyne,5,1,0,0,2,0,0,5,False,2,4,0,0,1,2,2026-01-20,away,Century
 B. Rankin,1,1,0,0,0,0,0,3,False,1,3,1,2,0,0,2026-01-20,away,Century
 C. Yinger,3,1,0,2,1,0,1,2,False,1,6,0,4,0,0,2026-01-20,away,Century
 E. Dejesus,0,0,0,1,0,0,0,2,False,1,5,0,3,0,0,2026-01-20,away,Century
 K. Johnson,0,5,0,0,0,0,1,0,False,0,0,0,0,0,0,2026-01-20,away,Century
 N. Gabriel,0,1,0,1,0,0,0,0,False,0,1,0,0,0,0,2026-01-20,away,Century
 J. Abreu,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-01-20,away,Century
 J. Constantine,0,1,0,0,0,0,0,0,False,0,0,0,0,0,0,2026-01-20,away,Century
 G. Tittle,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-01-20,away,Century
 B. Novotny,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-01-20,away,Century
 H. Mollman,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-01-20,away,Century
 D. Harris,0,0,0,0,0,0,0,0,True,0,0,0,0,0,0,2026-01-20,away,Century
 C. Hall,0,1,0,4,0,1,4,14,False,4,9,2,4,4,4,2026-01-23,home,Liberty
 E. Rhyne,5,0,0,0,0,0,0,13,False,5,8,0,0,3,6,2026-01-23,home,Liberty
 C. Yinger,7,3,0,1,1,0,2,6,False,3,10,0,3,0,0,2026-01-23,home,Liberty
 R. Messier,0,4,0,1,1,0,2,4,False,2,6,0,3,0,0,2026-01-23,home,Liberty
 K. Johnson,2,1,0,0,1,2,0,4,False,1,2,0,0,2,3,2026-01-23,home,Liberty
 J. Abreu,0,1,0,1,0,0,2,3,False,1,6,0,2,1,3,2026-01-23,home,Liberty
 G. Tittle,0,0,0,0,0,0,0,3,False,1,4,1,4,0,0,2026-01-23,home,Liberty
 B. Rankin,3,4,0,0,0,0,1,2,False,1,2,0,0,0,0,2026-01-23,home,Liberty
 D. Harris,0,0,0,0,0,0,1,2,False,1,1,0,0,0,0,2026-01-23,home,Liberty
 N. Gabriel,0,1,0,0,1,0,0,2,False,0,1,0,1,2,2,2026-01-23,home,Liberty
